id,country_id/id,name,zipcode,state_id/id,code
city_ba_72212,base.ba,Nemila,72212,l10n_bs.state_ba_k_ze
city_ba_88390,base.ba,Neum,88390,l10n_bs.state_ba_ef
city_ba_88280,base.ba,Nevesinje,88280,l10n_bs.state_ba_er
city_ba_71383,base.ba,Nišići,71383,l10n_bs.state_ba_ef
city_ba_72276,base.ba,Nova Bila,72276,l10n_bs.state_ba_ef
city_ba_75445,base.ba,Nova Kasaba,75445,l10n_bs.state_ba_er
city_ba_79220,base.ba,Novi Grad (Bosanski Novi),79220,l10n_bs.state_ba_er
city_ba_74254,base.ba,Novi Šeher,74254,l10n_bs.state_ba_ef
city_ba_72290,base.ba,Novi Travnik,72290,l10n_bs.state_ba_ef,091
city_ba_73110,base.ba,Novo Goražde,73110,l10n_bs.state_ba_er
city_ba_76290,base.ba,Odžak,76290,l10n_bs.state_ba_ef
city_ba_75323,base.ba,Orahovica Donja,75323,l10n_bs.state_ba_ef
city_ba_76270,base.ba,Orašje,76270,l10n_bs.state_ba_ef
city_ba_75406,base.ba,Osmaci,75406,l10n_bs.state_ba_er
city_ba_88423,base.ba,Ostrožac,88423,l10n_bs.state_ba_ef
city_ba_71420,base.ba,Pale,71420,l10n_bs.state_ba_er
city_ba_71243,base.ba,Pazarić,71243,l10n_bs.state_ba_ef
city_ba_76256,base.ba,Pelagićevo,76256,l10n_bs.state_ba_er
city_ba_72252,base.ba,Počulica,72252,l10n_bs.state_ba_ef
city_ba_71387,base.ba,Podlugovi,71387,l10n_bs.state_ba_ef
city_ba_88403,base.ba,Podorašac,88403,l10n_bs.state_ba_ef
city_ba_88206,base.ba,Podvelež,88206,l10n_bs.state_ba_ef
city_ba_75303,base.ba,Poljice,75303,l10n_bs.state_ba_ef
city_ba_88240,base.ba,Posušje,88240,l10n_bs.state_ba_ef
city_ba_75433,base.ba,Potočari,75433,l10n_bs.state_ba_er
city_ba_73290,base.ba,Prača,73290,l10n_bs.state_ba_ef
city_ba_79102,base.ba,Prijedor,79102,l10n_bs.state_ba_er
city_ba_78430,base.ba,Prnjavor,78430,l10n_bs.state_ba_er
city_ba_74214,base.ba,Prnjavor Mali,74214,l10n_bs.state_ba_er
city_ba_88440,base.ba,Prozor,88440,l10n_bs.state_ba_ef
city_ba_76292,base.ba,Prud,76292,l10n_bs.state_ba_ef
city_ba_70223,base.ba,Prusac,70223,l10n_bs.state_ba_ef
city_ba_75305,base.ba,Puračić,75305,l10n_bs.state_ba_ef
city_ba_88245,base.ba,Rakitno,88245,l10n_bs.state_ba_ef
city_ba_71217,base.ba,Rakovica,71217,l10n_bs.state_ba_ef
city_ba_88370,base.ba,Ravno,88370,l10n_bs.state_ba_ef
city_ba_73220,base.ba,Rogatica,73220,l10n_bs.state_ba_er
city_ba_73260,base.ba,Rudo,73260,l10n_bs.state_ba_er
city_ba_75411,base.ba,Sapna,75411,l10n_bs.state_ba_ef
city_ba_71321,base.ba,Semizovac,71321,l10n_bs.state_ba_k_sa
city_ba_75207,base.ba,Simin Han,75207,l10n_bs.state_ba_ef
city_ba_75436,base.ba,Skelani,75436,l10n_bs.state_ba_er
city_ba_71350,base.ba,Sokolac,71350,l10n_bs.state_ba_er
city_ba_75430,base.ba,Srebrenica,75430,l10n_bs.state_ba_er
