"code","id","account_type","chart_template_id/id","name","note","reconcile"
"453","bs_fbih_453","liability_current","l10n_bs.l10n_bs_fbih_chart_template","Obaveze za neto naknade plaća koje se refundiraju",,
"454","bs_fbih_454","liability_current","l10n_bs.l10n_bs_fbih_chart_template","Obaveze za porez i posebne dažbine na naknade plaća koje se refundiraju",,
"455","bs_fbih_455","liability_current","l10n_bs.l10n_bs_fbih_chart_template","Obaveze za doprinose u vezi naknada plaća koje se refundiraju",,
"456","bs_fbih_456","liability_current","l10n_bs.l10n_bs_fbih_chart_template","Obaveze za ostala neto primanja, naknade troškova i materijalna prava zaposlenih",,
"457","bs_fbih_457","liability_current","l10n_bs.l10n_bs_fbih_chart_template","Obaveze za porez i posebne dažbine na ostala primanja zaposlenih",,
"458","bs_fbih_458","liability_current","l10n_bs.l10n_bs_fbih_chart_template","Obaveze za doprinose u vezi ostalih primanja zaposlenih",,
"460","bs_fbih_460","liability_current","l10n_bs.l10n_bs_fbih_chart_template","Obaveze po osnovu kamata i troškova finansiranja",,
"461","bs_fbih_461","liability_current","l10n_bs.l10n_bs_fbih_chart_template","Obaveze za dividende",,
"462","bs_fbih_462","liability_current","l10n_bs.l10n_bs_fbih_chart_template","Obaveze za učešće u dobiti",,
"463","bs_fbih_463","liability_current","l10n_bs.l10n_bs_fbih_chart_template","Obaveze za naknade članovima odbora, komisija i sl.",,
"464","bs_fbih_464","liability_current","l10n_bs.l10n_bs_fbih_chart_template","Obaveze za porez i posebne dažbine na naknade članovima odbora, komisija i sl.",,
"465","bs_fbih_465","liability_current","l10n_bs.l10n_bs_fbih_chart_template","Obaveze za doprinose u vezi naknada članovima odbora, komisija i sl.",,
"466","bs_fbih_466","liability_current","l10n_bs.l10n_bs_fbih_chart_template","Obaveze prema fizičkim licima za naknade po ugovorima",,
"467","bs_fbih_467","liability_current","l10n_bs.l10n_bs_fbih_chart_template","Obaveze za porez i posebne dažbine na naknade fizičkim licima",,
"468","bs_fbih_468","liability_current","l10n_bs.l10n_bs_fbih_chart_template","Obaveze za doprinose u vezi naknada fizičkim licima",,
"469","bs_fbih_469","liability_current","l10n_bs.l10n_bs_fbih_chart_template","Ostale obaveze",,
"470","bs_fbih_470","liability_current","l10n_bs.l10n_bs_fbih_chart_template","PDV po osnovu isporuka drugim obveznicima PDV-a",,
"471","bs_fbih_471","liability_current","l10n_bs.l10n_bs_fbih_chart_template","PDV po primljenim avansima",,
"472","bs_fbih_472","liability_current","l10n_bs.l10n_bs_fbih_chart_template","PDV po osnovu vlastite potrošnje u neposlovne svrhe",,
"473","bs_fbih_473","liability_current","l10n_bs.l10n_bs_fbih_chart_template","PDV po osnovu isporuka neobveznicima PDV-a (krajnja potrošnja)",,
"474","bs_fbih_474","liability_current","l10n_bs.l10n_bs_fbih_chart_template","PDV obračunat na usluge stranih lica",,
"475","bs_fbih_475","liability_current","l10n_bs.l10n_bs_fbih_chart_template","Obaveze za uplatu PDV-a po posebnoj šemi",,
"478","bs_fbih_478","liability_current","l10n_bs.l10n_bs_fbih_chart_template","Druge obaveze iz osnova PDV-a",,
"479","bs_fbih_479","liability_current","l10n_bs.l10n_bs_fbih_chart_template","Obaveze za razliku između obaveza za PDV i ulaznog poreza",,
"480","bs_fbih_480","liability_current","l10n_bs.l10n_bs_fbih_chart_template","Obaveze za akcize",,
"481","bs_fbih_481","liability_current","l10n_bs.l10n_bs_fbih_chart_template","Obaveze za porez na dobit",,
"482","bs_fbih_482","liability_current","l10n_bs.l10n_bs_fbih_chart_template","Obaveze za poreze, carine i druge dažbine iz nabavke ili na teret troškova",,
"483","bs_fbih_483","liability_current","l10n_bs.l10n_bs_fbih_chart_template","Obaveze za ostale doprinose, članarine i sl. koje terete troškove",,
"484","bs_fbih_484","liability_current","l10n_bs.l10n_bs_fbih_chart_template","Obaveze za PDV koji se plaća pri uvozu",,
"489","bs_fbih_489","liability_current","l10n_bs.l10n_bs_fbih_chart_template","Ostale obaveze za poreze, doprinose i druge dažbine",,
"490","bs_fbih_490","liability_current","l10n_bs.l10n_bs_fbih_chart_template","Unaprijed obračunati rashodi perioda",,
"491","bs_fbih_491","liability_current","l10n_bs.l10n_bs_fbih_chart_template","Obračunati prihodi narednog perioda",,
"492","bs_fbih_492","liability_current","l10n_bs.l10n_bs_fbih_chart_template","Razgraničeni zavisni troškovi nabavke",,
"493","bs_fbih_493","liability_current","l10n_bs.l10n_bs_fbih_chart_template","Odloženi prihodi za primljene donacije i sl.",,
"494","bs_fbih_494","liability_current","l10n_bs.l10n_bs_fbih_chart_template","Razgraničeni prihodi po osnovu plasmana",,
"495","bs_fbih_495","liability_current","l10n_bs.l10n_bs_fbih_chart_template","Odložene porezne obaveze",,
"499","bs_fbih_499","liability_current","l10n_bs.l10n_bs_fbih_chart_template","Ostala pasivna vremenska razgraničenja",,
"500","bs_fbih_500","expense","l10n_bs.l10n_bs_fbih_chart_template","Nabavka robe",,
"501","bs_fbih_501","expense","l10n_bs.l10n_bs_fbih_chart_template","Nabavna vrijednost prodate robe",,
"502","bs_fbih_502","expense","l10n_bs.l10n_bs_fbih_chart_template","Nabavna vrijednost prodatih nekretnina pribavljenih radi prodaje",,
"510","bs_fbih_510","expense","l10n_bs.l10n_bs_fbih_chart_template","Nabavka sirovina, materijala, rezervnih dijelova i inventara",,
"511","bs_fbih_511","expense","l10n_bs.l10n_bs_fbih_chart_template","Utrošene sirovine i materijal",,
"512","bs_fbih_512","expense","l10n_bs.l10n_bs_fbih_chart_template","Utrošena energija i gorivo",,
"513","bs_fbih_513","expense","l10n_bs.l10n_bs_fbih_chart_template","Utrošeni rezervni dijelovi",,
"514","bs_fbih_514","expense","l10n_bs.l10n_bs_fbih_chart_template","Otpis sitnog inventara, ambalaže i autoguma",,
"519","bs_fbih_519","expense","l10n_bs.l10n_bs_fbih_chart_template","Odstupanje od cijena",,
"520","bs_fbih_520","expense","l10n_bs.l10n_bs_fbih_chart_template","Troškovi plaća",,
"521","bs_fbih_521","expense","l10n_bs.l10n_bs_fbih_chart_template","Troškovi naknada plaća",,
"523","bs_fbih_523","expense","l10n_bs.l10n_bs_fbih_chart_template","Troškovi službenih putovanja zaposlenih",,
"524","bs_fbih_524","expense","l10n_bs.l10n_bs_fbih_chart_template","Troškovi ostalih primanja, naknada i materijalnih prava zaposlenih",,
"527","bs_fbih_527","expense","l10n_bs.l10n_bs_fbih_chart_template","Troškovi naknada članovima odbora, komisija i sl.",,
"529","bs_fbih_529","expense","l10n_bs.l10n_bs_fbih_chart_template","Troškovi naknada ostalim fizičkim licima",,
"530","bs_fbih_530","expense","l10n_bs.l10n_bs_fbih_chart_template","Troškovi usluga izrade i dorade učinaka",,
